Statement Type,Reversed / Corrected Statement No.,Charge Period Start Date,Charge Period End Date,No. Of Days,Statement Issue Date,Due Date,Bill Service Alias,NMI,Site Address,Fuel,Balance at Last Invoice $,Payments & Transactions $,Balance Carried forward $,Energy Charges_EX_GST_$,Network Charges_EX_GST_$,Regulated Charges_EX_GST_$,Environmental Charges_EX_GST_$,Metering & Service Charges Ex GST $,Retail Service Charges $,New Charges_EX GST $,New Charges GST $,New Charges Total $,Dispute $,RCTI Charges Ex GST$,RCTI Charges GST$,Adjustment Reason,Original / Amended Charges,Credit & Adjustment_EX_GST_$,Credit & Adjustment_GST_$,Balance $,Component Start Date,Component End Date,Metering Provider,Meter Number,Previous Meter Read,Current Meter Read,Next Scheduled Read Date,Meter Multiplier,Read Type,Read Reason,Total Consumption for Period,Total Generation for Period,Power Factor at Highest Demand,Highest Metered Demand (kW),Highest Metered (kW) Demand Date/Time,Highest Metered Demand (kVa),Highest Metered (kVa) Demand Date/Time,Load Factor,Contract Demand (kW),Contract Demand (kVa),LNSP,Network Tariff,Network Tariff Description,Invoice Heading Group 1,Invoice Heading Group 2,Charge Description,Analysis Code,Tariff Base Rate,Tariff UOM,Tariff Days,Published Certificate %,DLF,TLF,Quantity,Tariff Quantity UOM,GST Applicable,Component Cost$ (excl GST),Component$ GST,Component Cost$ (incl GST),Year to Date Consumption,Year to Date Total Charges (Incl GST),Supplier,Supplier ABN
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Environmental Charges,Environmental Charges,REPS Charge,,0.29,¢/KWH,31,,1.0903,,1035722.48,KWH,Yes,3274.82,327.48,3602.3,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Metering and Service Charges,Metering and Service Charges,Metering Charge,,96.8219,¢/Meter,31,,,,3,Meters,Yes,90.04,9,99.04,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Metering and Service Charges,Metering and Service Charges,Value Added Service Charge,,0,¢/Day,31,,,,31,Days,Yes,0,0,0,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Metering and Service Charges,Metering and Service Charges,Supplementary Metering Charge,,65.7534,¢/Meter,31,,,,3,Meters,Yes,61.15,6.12,67.27,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Retail Service Charges,Retail Service Charges,Service Charge,,0,¢/Month,31,,,,1,Month,Yes,0,0,0,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,,,,,,,,,,,,,,,,,,,,,,Additional Charges and Credits,Additional Charges and Credits,AEMO Direction Charge - Aug 2022,,,,,,,,,,Yes,8150.75,815.08,8965.83,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Energy Charges,Energy Charges,Peak,,34.44,¢/KWH,31,,1.0346,0.9996,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Energy Charges,Energy Charges,Off-Peak,,26.886,¢/KWH,31,,1.0346,0.9996,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Regulated Charges,Regulated Charges,AEMO Participant Charge,,0.0991,¢/KWH,31,,1.0346,,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Regulated Charges,Regulated Charges,AEMO Ancillary Charge,,0.0493,¢/KWH,31,,1.0346,,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Regulated Charges,Regulated Charges,AEMO FRC Operations,,0.3599,¢/DAY,31,,,,31,DAYS,Yes,0.11,0.01,0.12,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Environmental Charges,Environmental Charges,VEEC Charge,,1.184,¢/KWH,31,,1.0346,,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Environmental Charges,Environmental Charges,SREC Charge,,1.09,¢/KWH,31,,1.0346,,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Environmental Charges,Environmental Charges,LREC Charge,,1.305,¢/KWH,31,,1.0346,,0,KWH,Yes,0,0,0,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,64076954590,Wfield Shoppingtown Tower 619 Doncaster Road Doncaster VIC 3108,E,44.12,0,44.12,0,,0.11,0,,40,40.11,4.01,44.12,,0,0,,,0,0,88.24,1/10/2022,31/10/2022,United Energy,614712,,,5/12/2022,,Actual Reading (AEMO),Scheduled Read,,,,,,,,,,,ACTIVENM - Active Utilities Trust,,,Retail Service Charges,Retail Service Charges,Service Charge,,40,$/Month,31,,,,1,Month,Yes,40,4,44,0,617.67,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Energy Charges,Energy Charges,Peak,,7.558,¢/KWH,31,,1.107,1.0024,1673.616,KWH,Yes,140.36,14.04,154.4,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Energy Charges,Energy Charges,Off-Peak,,5.156,¢/KWH,31,,1.107,1.0024,2669.4,KWH,Yes,152.73,15.27,168,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Network Charges,Demand and Capacity,Anytime (KVA),,2.3839,$/KVA,31,,,,10.97,KVA,Yes,26.15,2.62,28.77,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Network Charges,Volume,Shoulder,,12.58,¢/KWH,31,,,,1669.51,KWH,Yes,210.02,21,231.02,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Network Charges,Volume,Off Peak,,6.79,¢/KWH,31,,,,2673.5,KWH,Yes,181.53,18.15,199.68,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Network Charges,Fixed,Access Charge,,61.64,¢/DAY,31,,,,31,DAYS,Yes,19.11,1.91,21.02,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Regulated Charges,Regulated Charges,AEMO Participant Charge,,0.0991,¢/KWH,31,,1.107,,4343.016,KWH,Yes,4.76,0.48,5.24,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Regulated Charges,Regulated Charges,AEMO Ancillary Charge,,0.0493,¢/KWH,31,,1.107,,4343.016,KWH,Yes,2.37,0.24,2.61,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Regulated Charges,Regulated Charges,AEMO FRC Operations,,0.3599,¢/DAY,31,,,,31,DAYS,Yes,0.11,0.01,0.12,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAE3117,Telecom 404 Mt Lofty Summit Road Cleland SA 5152,E,869.51,0,869.51,293.09,436.81,7.24,13.94,50.39,0,801.47,80.15,881.62,,0,0,,,37.67,3.77,1792.57,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,7679832,,,,,Actual Reading (AEMO),Scheduled Read,4343.016,,1,,,10.97,21 Oct 2022/15:00:00,0.53,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,SBTOUD,,Environmental Charges,Environmental Charges,REPS Charge,,0.29,¢/KWH,31,,1.107,,4343.016,KWH,Yes,13.94,1.39,15.33,16386.337,4229.24,Origin Energy Electricity Limited,33 071 052 287
